id,type,text
"ccc62a23-bb5f-41bd-8c97-d5a7b07f84bd","Definiton","uri"
"a1d41113-32c4-4638-93de-01240d2f9032","Definiton","uri"
"115304d6-fac0-44a7-9756-f3bf83174e06","Definiton","uri"
"ff1e0bc6-2ed9-4110-8466-317ef8b7f441","Definiton","uri"
"3b5ccf15-59d7-46b1-bec9-74baae4b3090","Definiton","uri"
"ba7d69d3-fa07-47a1-839b-0010f94ee8b5","Definiton","uri"
"4d0fefa4-13bf-4488-a471-e851b6c6ea36","Definiton","uri"
"fb2cf02d-8028-4b33-8a63-9ea8936e1df0","Definiton","uri"
"d0623ef8-fec1-46f0-b11d-0ca4c42cc120","Definiton","uri"
"a5d7fc52-57f9-486c-bc56-60eb50183ac9","Definiton","uri"
"5208bb30-6c13-4b5d-b672-543830e044fe","Definiton","uri"
"74a0276b-4b1c-449f-bc83-4759943347a2","Definiton","uri"
"ad89ef84-7cd6-40ad-a644-1d9dabe00b88","Definiton","uri"
"a7f85dc6-841e-4d35-9a9d-36fa184e5051","Definiton","uri"
"4a85a4b1-84b2-42ca-bbf0-d11b7e704829","Definiton","uri"
"939c93b7-200c-436e-a618-e4f36456eb43","Definiton","uri"
"7232ddc9-544a-4554-be78-2c0b71b8f32e","Definiton","uri"
"a36eb141-5dd0-4065-a366-76cf4c3c92e8","Definiton","uri"
"1e0e5baf-4ca8-4907-91e2-355d3b1cfa45","Definiton","uri"
"ab982d7d-5652-4c90-a12b-901eb2ad0f99","Definiton","uri"
"06d4ff58-709d-4e18-ba23-1b1015a37486","Definiton","uri"
"4c7f7888-4146-4c58-8f6c-34c3c30f3567","Definiton","uri"
"1a1e2f10-a1a1-4860-8902-1df56c2add99","Definiton","uri"
"cd916de9-03b9-414f-89ba-314866d3b342","Definiton","uri"
"1d3289f5-aff3-4c3e-bafa-35228287168d","Definiton","uri"
"07af4813-e5fb-4c6b-8e7a-7c760fd80bd1","Definiton","uri"
"141b29e9-8b46-4c5b-b0e4-89024b0029d8","Definiton","uri"
"b7652250-9f8d-434e-9efe-5eb65c15e242","Definiton","uri"
"00e53bbe-7ad3-432f-9077-72f810d17d3e","Definiton","uri"
